,BindingDB Ligand Name,Target Name,Target Source Organism,smiles,Tanimoto_Similarity
0,"(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one::CHEMBL9352::Naringenin",Alpha-amylase,Homo sapiens,Oc1ccc(cc1)C1CC(=O)c2c(O1)cc(cc2O)O,1.0
1,"&#945;-CA inhibitor, 5::5,7-dihydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one::CHEMBL32571::Naringenin::Naringenin (NAR)::naringetol::salipurpol",Cytochrome P450 19A1,Homo sapiens,Oc1ccc(cc1)C1CC(=O)c2c(O1)cc(cc2O)O,1.0
2,"&#945;-CA inhibitor, 5::5,7-dihydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one::CHEMBL32571::Naringenin::Naringenin (NAR)::naringetol::salipurpol",Carbonic anhydrase 1,Homo sapiens,Oc1ccc(cc1)C1CC(=O)c2c(O1)cc(cc2O)O,1.0
3,"(E)-1-(2,4-Dihydroxy-phenyl)-3-(4-hydroxy-phenyl)-propenone::(E)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one::1-(2,4-Dihydroxy-phenyl)-3-(4-hydroxy-phenyl)-propenone::1-(2,4-Dihydroxyphenyl)-3-(4-hydroxyphenyl)-prop-2-en-1-one::1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one::2',4',4-trihydroxychalcone::2',4,4'-trihydroxychalcone::2,4'-dihydroxy-4-hydroxychalcone::CHEMBL129795::Isoliquiritigenin (1)::cid_638278",Bcl-2-like protein 11,Homo sapiens,Oc1ccc(cc1)/C=C/C(=O)c1c(O)cc(cc1O)O,1.0
4,"(E)-1-(2,4-Dihydroxy-phenyl)-3-(4-hydroxy-phenyl)-propenone::(E)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one::1-(2,4-Dihydroxy-phenyl)-3-(4-hydroxy-phenyl)-propenone::1-(2,4-Dihydroxyphenyl)-3-(4-hydroxyphenyl)-prop-2-en-1-one::1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one::2',4',4-trihydroxychalcone::2',4,4'-trihydroxychalcone::2,4'-dihydroxy-4-hydroxychalcone::CHEMBL129795::Isoliquiritigenin (1)::cid_638278",Probable global transcription activator SNF2L2,Homo sapiens,Oc1ccc(cc1)/C=C/C(=O)c1c(O)cc(cc1O)O,1.0
5,"(E)-1-(2,4-Dihydroxy-phenyl)-3-(4-hydroxy-phenyl)-propenone::(E)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one::1-(2,4-Dihydroxy-phenyl)-3-(4-hydroxy-phenyl)-propenone::1-(2,4-Dihydroxyphenyl)-3-(4-hydroxyphenyl)-prop-2-en-1-one::1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one::2',4',4-trihydroxychalcone::2',4,4'-trihydroxychalcone::2,4'-dihydroxy-4-hydroxychalcone::CHEMBL129795::Isoliquiritigenin (1)::cid_638278",Beta-secretase 1,Homo sapiens,Oc1ccc(cc1)/C=C/C(=O)c1c(O)cc(cc1O)O,1.0
6,"(3R,4R)-3,4-Bis-(3,4-dihydroxy-benzyl)-dihydro-furan-2-one::(3R,4R)-3,4-bis(3,4-dihydroxybenzyl)dihydrofuran-2(3H)-one::CHEMBL369471",Cytochrome P450 19A1,Homo sapiens,O=C1OCC(C1Cc1ccc(c(c1)O)O)Cc1ccc(c(c1)O)O,1.0
7,(+)-Lariciresinol::(+/-)-lariciresinol::CHEMBL518421::lariciresinol,Cytochrome P450 3A4,Homo sapiens,OC[C@H]1[C@H](CO[C@@H]1c1ccc(c(c1)OC)O)Cc1ccc(c(c1)OC)O,1.0
8,(+)-secoisolariciresinol::CHEMBL368347,Cytochrome P450 3A4,Homo sapiens,OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,1.0
9,"(2S,3S,4S,5R,6S)-6-(5,6-dihydroxy-4-oxo-2-phenyl-4H-chromen-7-yloxy)-3,4,5-trihydroxy-tetrahydro-2H-pyran-2-carboxylic acid::Baicalin (9)::CHEMBL485818::baicalin",Aurora kinase B,Homo sapiens,OC(=O)[C@H]1O[C@@H](Oc2cc3oc(cc(=O)c3c(c2O)O)c2ccccc2)[C@@H]([C@H]([C@@H]1O)O)O,1.0
10,Kaempferol 7-O-&#946;-D-glucuronide (5),Protein-tyrosine phosphatase 1B,Homo sapiens,OC(=O)[C@H]1O[C@@H](Oc2cc3oc(cc(=O)c3c(c2O)O)c2ccccc2)[C@@H]([C@H]([C@@H]1O)O)O,1.0
11,Luteolin 7-O-&#946;-D-glucuronide (14),Protein-tyrosine phosphatase 1B,Homo sapiens,OC(=O)[C@H]1O[C@@H](Oc2cc3oc(cc(=O)c3c(c2O)O)c2ccccc2)[C@@H]([C@H]([C@@H]1O)O)O,1.0
12,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one::2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-chromen-4-one::CHEMBL151::Luteolin (27)::Luteolin (4)::cid_5280445::luteolin::med.21724, Compound 3",Cyclin-Dependent Kinase 6 (CDK6),Homo sapiens,Oc1cc2oc(cc(=O)c2c(c1O)O)c1ccccc1,1.0
13,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one::2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromen-4-one::2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromone;hydrate::CHEMBL50::Quercetin::Quercetin (10)::Quercetin (21)::Quercetin (Qur)::US11021454, Compound Quercetin::US9180183, Quercetin::med.21724, Compound 4",Cyclin-Dependent Kinase 6 (CDK6),Homo sapiens,Oc1cc2oc(cc(=O)c2c(c1O)O)c1ccccc1,1.0
14,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one::2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromen-4-one::2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-chromone;hydrate::CHEMBL50::Quercetin::Quercetin (10)::Quercetin (21)::Quercetin (Qur)::US11021454, Compound Quercetin::US9180183, Quercetin::med.21724, Compound 4",Casein kinase II subunit alpha,Homo sapiens,Oc1cc2oc(cc(=O)c2c(c1O)O)c1ccccc1,1.0
